AvgBasket,OrdersPerMonth,DaysSinceLast,LinesPerOrder,TrueType
36.61,7.72,9.85,3.15,weekly regulars
11.79,2.09,49.85,1.24,bargain hunters
146.44,1.58,5.3,7.5,bulk buyers
22.9,1.6,24.09,1.46,bargain hunters
44.79,8.89,11.71,3.24,weekly regulars
17.42,0.55,58.52,1.36,lapsed
29.1,10.97,7.83,3.19,weekly regulars
50.96,3.29,9.06,2.65,weekly regulars
33.83,14.42,12.73,3.29,weekly regulars
124.85,1.32,9.47,7.52,bulk buyers
32.13,10.57,9.11,2.31,weekly regulars
111.26,1.07,10.9,4.81,bulk buyers
11.17,1.66,34.48,1.28,bargain hunters
40.78,7.37,18.66,4.23,weekly regulars
32.45,7.71,15.58,3.79,weekly regulars
61.08,0.81,77.85,0.42,unclassifiable
32.34,0.29,74.06,0.85,lapsed
19.58,0.56,95.94,0.83,lapsed
42.84,5.3,11.86,3.77,weekly regulars
55.64,1.93,75.05,4.08,unclassifiable
20.18,0.35,81.39,1.43,lapsed
229.41,2.63,7.67,5.92,unclassifiable
28.63,0.5,72.14,1.07,lapsed
121.06,1.12,7.69,6.52,bulk buyers
52.76,6.73,5.53,3.32,weekly regulars
42.93,9.96,17.02,3.29,weekly regulars
105.79,1.39,6.01,3.95,bulk buyers
14.36,2.38,32.07,2.06,bargain hunters
122.35,1.45,7.71,7.95,bulk buyers
45.86,8.03,11.7,2.36,weekly regulars
26.96,0.45,70.01,1.18,lapsed
32.35,12.58,19.48,2.37,weekly regulars
14.68,1.64,40.2,1.8,bargain hunters
33.52,9.48,13.02,2.37,weekly regulars
21.45,0.44,22.74,1.08,lapsed
22.09,1.98,38.8,1.61,bargain hunters
234.72,1.32,11.02,3.78,bulk buyers
17.35,0.38,80.43,1.04,lapsed
139.06,1.6,10.42,6.41,bulk buyers
15.95,0.31,76.84,0.6,lapsed
22.52,11.16,5.24,4.14,weekly regulars
21.0,10.16,31.14,5.97,unclassifiable
144.95,1.46,6.15,8.63,bulk buyers
133.93,1.46,10.45,6.26,bulk buyers
26.78,9.15,7.32,2.19,weekly regulars
18.08,0.42,71.76,1.31,lapsed
19.99,0.44,123.33,1.14,lapsed
8.33,2.18,17.59,1.53,bargain hunters
41.93,1.85,3.15,4.75,unclassifiable
22.14,2.72,44.27,1.24,bargain hunters
35.13,0.37,121.36,1.42,lapsed
18.45,0.52,92.64,1.23,lapsed
26.91,3.21,26.48,2.78,unclassifiable
116.74,1.49,10.17,4.97,bulk buyers
33.74,10.31,6.1,3.31,weekly regulars
25.45,2.78,43.82,1.63,bargain hunters
149.9,1.47,8.34,4.82,bulk buyers
28.48,1.84,42.62,1.4,bargain hunters
17.32,2.34,40.42,1.52,bargain hunters
16.15,1.51,47.03,0.84,bargain hunters
122.76,1.57,11.38,6.96,bulk buyers
16.88,1.51,33.82,1.77,bargain hunters
90.63,1.24,8.6,6.49,bulk buyers
72.44,9.04,11.27,3.55,weekly regulars
20.03,0.38,68.02,1.64,lapsed
85.97,1.31,11.2,5.01,bulk buyers
170.35,1.22,8.22,9.32,bulk buyers
29.79,1.41,61.72,1.55,bargain hunters
10.37,0.52,55.36,1.33,lapsed
29.22,9.54,7.91,2.94,weekly regulars
20.49,2.04,44.81,1.64,bargain hunters
12.98,3.17,19.26,1.62,bargain hunters
19.43,1.64,52.7,1.3,bargain hunters
12.19,10.56,70.69,1.56,unclassifiable
15.08,1.15,55.76,1.17,bargain hunters
18.52,9.66,11.84,2.35,weekly regulars
132.01,1.03,14.46,4.75,bulk buyers
92.01,1.37,11.16,6.12,bulk buyers
156.26,1.21,10.87,8.81,bulk buyers
29.75,10.42,8.05,3.72,weekly regulars
41.28,0.52,46.76,3.85,unclassifiable
21.41,1.89,47.69,1.18,bargain hunters
37.31,11.25,11.45,2.98,weekly regulars
15.46,2.46,58.71,0.99,bargain hunters
28.31,14.45,5.54,3.51,weekly regulars
31.22,0.47,78.48,1.13,lapsed
43.62,11.88,7.87,2.02,weekly regulars
20.57,10.47,9.07,2.54,weekly regulars
19.21,0.46,96.74,0.48,lapsed
22.79,2.95,14.63,1.94,weekly regulars
18.36,1.4,41.37,1.67,bargain hunters
38.58,7.5,11.3,0.82,weekly regulars
112.09,0.96,5.82,8.47,bulk buyers
49.59,6.02,7.81,3.59,weekly regulars
80.17,2.14,6.67,6.67,bulk buyers
149.55,1.35,5.89,5.17,bulk buyers
20.71,9.65,15.14,2.3,weekly regulars
21.92,2.09,43.38,0.67,bargain hunters
46.08,3.77,14.08,3.36,weekly regulars
55.25,11.89,6.53,4.16,weekly regulars
92.73,1.8,6.29,7.06,bulk buyers
86.07,2.5,68.35,0.21,unclassifiable
33.61,5.55,15.3,2.46,weekly regulars
77.04,0.84,13.91,4.91,bulk buyers
19.2,0.49,93.54,0.79,lapsed
22.24,7.55,12.44,4.15,weekly regulars
136.53,1.44,9.74,6.34,bulk buyers
26.31,0.33,87.74,0.88,lapsed
129.6,12.32,84.28,2.23,unclassifiable
4.94,6.41,37.56,3.98,unclassifiable
68.58,6.07,15.14,2.35,weekly regulars
22.57,0.32,46.48,0.69,lapsed
35.23,12.94,11.41,2.49,weekly regulars
18.54,0.83,49.35,0.49,bargain hunters
154.95,2.29,7.75,6.9,bulk buyers
31.29,7.31,2.56,2.97,weekly regulars
14.41,0.34,93.21,0.82,lapsed
36.5,9.82,2.6,3.57,weekly regulars
22.39,0.45,97.57,1.49,lapsed
37.55,10.52,11.06,2.23,weekly regulars
39.19,0.26,22.99,0.87,lapsed
18.46,1.54,5.9,1.3,bargain hunters
31.04,6.02,9.21,3.55,weekly regulars
38.16,0.44,70.33,0.9,lapsed
23.38,1.03,51.19,1.58,bargain hunters
27.75,0.42,87.27,0.89,lapsed
65.1,1.76,4.47,5.46,bulk buyers
98.0,0.75,14.27,8.37,bulk buyers
17.08,0.79,46.19,1.36,bargain hunters
34.26,7.72,9.22,2.8,weekly regulars
110.88,1.51,9.02,4.53,bulk buyers
22.12,1.16,60.29,1.19,bargain hunters
48.3,2.85,12.05,3.6,weekly regulars
17.71,1.6,54.77,1.52,bargain hunters
35.38,8.02,8.26,2.52,weekly regulars
30.24,6.7,4.73,2.5,weekly regulars
35.84,9.84,14.92,2.91,weekly regulars
31.41,8.58,11.75,2.51,weekly regulars
112.49,1.17,14.48,7.47,bulk buyers
72.23,10.19,13.85,2.03,weekly regulars
74.39,1.76,8.91,6.1,bulk buyers
42.46,1.21,27.8,1.59,unclassifiable
218.27,1.27,8.64,8.06,bulk buyers
68.57,11.41,3.2,3.1,unclassifiable
26.3,0.5,73.02,1.25,lapsed
19.01,3.02,55.83,2.07,bargain hunters
122.33,0.96,2.58,3.17,bulk buyers
43.72,5.85,15.91,3.14,weekly regulars
15.59,2.08,23.38,1.57,bargain hunters
19.48,4.96,14.98,3.33,weekly regulars
15.11,2.1,59.21,1.81,bargain hunters
38.76,2.82,2.51,6.45,unclassifiable
24.96,8.66,7.53,2.51,weekly regulars
118.05,1.13,10.92,5.7,bulk buyers
43.82,7.16,4.96,3.67,weekly regulars
119.69,1.48,8.48,6.59,bulk buyers
22.91,0.47,38.93,0.95,lapsed
36.11,9.13,13.81,3.37,weekly regulars
32.27,7.24,19.42,2.05,weekly regulars
21.35,5.34,2.94,4.92,weekly regulars
21.14,2.7,69.56,1.18,bargain hunters
152.79,3.14,34.53,6.26,unclassifiable
20.42,8.02,13.09,1.24,weekly regulars
162.18,1.37,10.66,3.71,bulk buyers
24.12,4.13,73.51,1.88,unclassifiable
20.24,1.91,20.83,1.09,bargain hunters
28.39,7.48,8.73,2.99,weekly regulars
10.24,2.94,48.02,2.07,bargain hunters
23.59,3.19,35.33,1.38,bargain hunters
33.36,12.35,12.74,3.36,weekly regulars
28.6,12.81,1.39,3.61,weekly regulars
114.36,1.59,8.89,7.19,bulk buyers
6.06,2.19,16.93,1.53,bargain hunters
14.9,2.25,28.36,1.97,bargain hunters
44.55,11.61,12.58,1.56,weekly regulars
24.86,2.13,42.59,1.58,bargain hunters
30.49,1.15,44.81,1.36,bargain hunters
19.9,14.41,14.73,4.3,weekly regulars
159.75,1.97,9.39,5.62,bulk buyers
181.2,1.71,8.0,6.58,bulk buyers
37.67,9.92,0.04,3.32,weekly regulars
37.3,10.11,12.97,2.42,weekly regulars
22.51,0.39,17.23,0.89,lapsed
30.29,9.86,12.72,2.59,weekly regulars
100.62,1.61,9.44,6.19,bulk buyers
29.03,4.47,15.77,4.09,weekly regulars
31.52,2.15,60.42,1.36,bargain hunters
24.22,2.4,47.53,1.31,bargain hunters
21.17,0.52,72.11,0.95,lapsed
152.03,4.09,41.46,5.7,unclassifiable
15.59,2.21,67.64,1.85,bargain hunters
15.07,2.19,28.26,1.09,bargain hunters
27.66,0.37,78.96,0.85,lapsed
20.6,1.83,37.34,1.74,bargain hunters
19.53,0.36,72.93,1.04,lapsed
20.91,1.43,24.11,1.86,bargain hunters
29.52,1.46,72.92,1.21,bargain hunters
82.54,1.66,9.72,6.81,bulk buyers
34.18,8.12,13.14,2.17,weekly regulars
25.08,2.28,42.5,1.16,bargain hunters
24.02,2.64,46.13,0.9,unclassifiable
36.66,8.49,10.71,1.4,weekly regulars
29.19,9.09,10.36,1.98,weekly regulars
120.46,1.51,12.85,3.96,bulk buyers
139.34,0.74,11.62,8.5,bulk buyers
9.87,0.61,99.75,0.75,lapsed
19.97,2.71,41.85,1.58,bargain hunters
52.39,4.32,23.46,8.46,unclassifiable
26.98,0.41,100.64,0.97,lapsed
61.46,9.63,4.89,3.39,weekly regulars
17.76,2.46,19.0,1.13,bargain hunters
106.48,1.45,10.37,6.53,bulk buyers
168.4,5.28,28.32,3.73,unclassifiable
16.73,0.46,82.95,0.57,lapsed
144.97,0.73,9.59,6.5,bulk buyers
14.55,0.5,101.23,0.7,lapsed
15.89,1.63,38.92,0.75,bargain hunters
22.27,8.41,9.53,3.37,weekly regulars
14.81,0.43,99.75,1.17,lapsed
14.51,1.24,68.52,0.73,bargain hunters
30.72,5.15,8.03,2.86,weekly regulars
18.27,0.33,32.74,1.05,lapsed
173.68,1.53,11.07,4.94,bulk buyers
23.84,7.89,12.26,3.54,weekly regulars
118.32,1.15,13.3,5.39,bulk buyers
34.19,6.25,10.97,3.57,weekly regulars
25.48,0.27,76.67,1.25,lapsed
29.61,9.48,11.97,2.77,weekly regulars
17.08,0.42,86.16,0.51,lapsed
11.35,1.91,48.57,1.15,bargain hunters
42.96,10.24,9.33,4.09,weekly regulars
215.6,0.94,7.19,6.84,bulk buyers
18.57,0.45,53.07,1.47,lapsed
25.18,1.89,31.29,1.39,bargain hunters
30.36,0.44,72.0,1.28,lapsed
19.98,0.35,90.74,1.33,lapsed
38.42,8.98,13.16,4.22,weekly regulars
24.44,2.04,58.45,1.91,bargain hunters
43.75,8.22,9.81,4.1,weekly regulars
18.38,2.03,66.88,1.1,bargain hunters
18.44,0.34,36.04,0.92,lapsed
91.13,1.5,3.51,8.88,bulk buyers
11.88,0.39,66.74,1.07,lapsed
47.27,10.96,6.84,4.35,weekly regulars
20.13,0.31,95.19,0.49,lapsed
22.89,0.56,43.55,0.76,lapsed
24.33,1.83,41.03,1.21,bargain hunters
99.69,1.59,12.77,6.35,bulk buyers
18.08,1.6,15.11,1.02,bargain hunters
20.36,0.43,93.99,1.0,lapsed
7.33,2.39,59.97,2.95,unclassifiable
19.98,1.82,37.61,1.46,bargain hunters
25.67,9.19,16.1,2.94,weekly regulars
31.95,9.37,10.0,2.32,weekly regulars
34.86,8.79,15.62,2.12,weekly regulars
49.52,12.75,16.66,2.46,weekly regulars
36.58,8.85,12.64,3.11,weekly regulars
15.36,2.97,24.62,1.58,bargain hunters
17.82,1.71,32.38,1.23,bargain hunters
28.05,7.89,9.85,2.15,weekly regulars
11.81,2.93,44.53,1.48,bargain hunters
44.68,9.06,6.82,2.47,weekly regulars
35.94,4.57,14.44,4.27,weekly regulars
129.24,0.85,8.56,5.71,bulk buyers
19.05,0.5,40.22,1.87,unclassifiable
25.1,9.22,16.82,3.06,weekly regulars
23.28,6.37,15.77,3.02,weekly regulars
23.33,9.41,5.63,3.35,weekly regulars
87.72,1.74,9.95,5.44,bulk buyers
19.32,0.28,99.06,0.94,lapsed
183.19,0.94,9.62,3.36,bulk buyers
43.12,10.05,9.17,4.14,weekly regulars
40.35,9.18,9.36,1.81,weekly regulars
12.68,0.57,56.53,1.29,lapsed
15.19,2.46,59.25,1.36,bargain hunters
35.59,7.0,4.95,3.28,weekly regulars
27.12,10.53,13.8,3.14,weekly regulars
29.04,0.42,42.12,1.21,lapsed
31.52,1.87,49.17,1.29,bargain hunters
16.41,1.4,41.04,0.87,bargain hunters
71.29,1.4,7.44,6.15,bulk buyers
16.81,2.97,61.5,0.88,bargain hunters
35.97,13.87,11.21,4.66,weekly regulars
25.77,0.31,77.09,1.07,lapsed
24.2,3.09,96.13,1.55,unclassifiable
19.12,1.22,41.71,1.02,bargain hunters
110.21,2.08,8.47,6.15,bulk buyers
16.73,12.67,15.57,4.16,weekly regulars
5.24,2.99,83.14,1.96,unclassifiable
132.63,1.88,9.89,6.3,bulk buyers
21.06,1.95,57.94,1.67,bargain hunters
37.35,5.34,14.01,3.56,weekly regulars
133.82,1.77,10.26,5.74,bulk buyers
14.19,2.34,37.49,1.82,bargain hunters
19.22,2.28,43.03,1.25,bargain hunters
30.88,6.91,15.18,2.77,weekly regulars
15.44,0.39,118.8,1.07,lapsed
34.36,14.1,7.75,2.9,weekly regulars
107.65,5.9,1.72,4.54,unclassifiable
98.65,1.43,7.99,4.62,bulk buyers
198.04,1.3,7.35,6.31,bulk buyers
31.14,8.5,7.45,2.99,weekly regulars
42.94,6.88,14.93,1.72,weekly regulars
26.76,2.45,52.18,1.16,bargain hunters
21.76,0.43,46.19,1.25,lapsed
147.2,0.88,11.96,5.45,bulk buyers
25.9,3.24,35.08,0.9,bargain hunters
26.89,0.38,94.84,1.52,lapsed
4.64,4.95,15.95,4.32,unclassifiable
195.51,1.27,9.15,7.8,bulk buyers
199.56,3.32,14.9,1.92,unclassifiable
22.88,12.46,11.1,2.99,weekly regulars
105.52,0.83,8.77,7.52,bulk buyers
210.28,1.32,3.92,8.06,bulk buyers
46.56,7.99,7.7,2.91,weekly regulars
142.85,1.61,12.39,6.28,bulk buyers
17.52,2.99,30.54,1.49,bargain hunters
175.72,1.11,11.07,5.94,bulk buyers
115.06,0.69,8.58,6.45,bulk buyers
35.13,6.21,23.65,0.04,unclassifiable
94.19,0.81,6.84,5.56,bulk buyers
21.62,2.58,38.04,1.39,bargain hunters
59.46,0.59,73.15,1.81,unclassifiable
21.91,2.34,71.52,1.04,bargain hunters
41.34,4.43,17.09,3.73,weekly regulars
18.58,2.05,33.06,1.82,bargain hunters
33.68,8.88,12.28,4.09,weekly regulars
33.7,7.43,14.31,2.22,weekly regulars
76.54,1.6,10.28,7.69,bulk buyers
40.68,12.24,14.66,3.6,weekly regulars
21.62,10.46,11.14,2.51,weekly regulars
32.81,8.15,11.51,2.52,weekly regulars
32.96,0.75,34.57,1.24,bargain hunters
28.63,0.33,81.31,1.2,lapsed
13.79,1.68,48.31,1.19,bargain hunters
36.82,7.06,17.89,1.78,weekly regulars
9.71,2.26,41.22,1.41,bargain hunters
58.28,8.98,11.64,3.39,weekly regulars
191.45,1.61,5.36,5.92,bulk buyers
31.61,11.83,15.38,3.59,weekly regulars
39.78,7.89,8.87,2.85,weekly regulars
15.62,0.35,65.17,1.02,lapsed
29.41,11.54,17.93,4.98,weekly regulars
29.08,13.73,5.42,3.8,weekly regulars
19.98,0.58,84.34,1.18,lapsed
11.44,2.0,45.23,1.55,bargain hunters
15.46,2.62,47.89,1.42,bargain hunters
27.5,0.21,31.38,0.59,lapsed
29.36,11.53,17.8,4.3,weekly regulars
37.58,5.67,11.01,3.72,weekly regulars
11.61,1.79,31.03,1.82,bargain hunters
12.98,1.84,49.09,0.82,bargain hunters
204.13,1.69,7.64,7.11,bulk buyers
14.97,1.61,48.98,1.95,bargain hunters
122.06,1.68,23.18,0.8,unclassifiable
171.25,1.59,6.46,3.57,bulk buyers
47.76,9.08,8.36,3.25,weekly regulars
39.08,6.74,10.9,3.16,weekly regulars
19.54,0.3,87.43,0.95,lapsed
17.44,2.33,52.7,1.46,bargain hunters
33.74,13.47,10.43,1.93,weekly regulars
150.27,1.34,8.2,4.06,bulk buyers
111.15,1.61,13.47,5.48,bulk buyers
17.47,1.69,48.86,0.79,bargain hunters
12.71,2.21,37.69,1.69,bargain hunters
39.79,10.67,6.39,3.44,weekly regulars
14.1,2.47,53.74,0.95,bargain hunters
34.26,0.37,85.72,3.11,unclassifiable
19.53,0.37,46.06,1.19,lapsed
20.07,0.55,103.29,0.83,lapsed
46.45,4.83,10.42,4.02,weekly regulars
13.0,2.64,30.74,1.45,bargain hunters
21.15,2.37,42.38,2.06,bargain hunters
45.33,7.51,11.3,3.64,weekly regulars
24.93,0.24,68.36,0.52,lapsed
146.43,1.2,4.83,7.33,bulk buyers
76.81,2.07,8.18,5.51,bulk buyers
16.39,1.84,67.53,1.6,bargain hunters
106.94,1.39,10.99,7.73,bulk buyers
24.25,1.92,73.95,1.71,bargain hunters
35.37,5.84,14.5,4.23,weekly regulars
14.28,2.52,50.09,1.5,bargain hunters
26.37,14.55,7.05,2.75,weekly regulars
18.21,8.6,11.6,2.96,weekly regulars
14.48,2.26,32.1,1.6,bargain hunters
105.7,1.25,5.13,6.05,bulk buyers
26.78,9.96,9.46,3.69,weekly regulars
26.14,8.83,18.29,2.23,weekly regulars
31.72,2.24,51.69,1.49,bargain hunters
16.44,0.24,85.39,1.12,lapsed
37.71,10.11,9.46,3.11,weekly regulars
125.94,0.79,7.67,6.63,bulk buyers
165.29,1.29,7.73,5.74,bulk buyers
35.75,11.76,6.79,2.38,weekly regulars
17.37,2.73,39.8,1.06,bargain hunters
33.3,0.3,86.42,0.67,lapsed
79.45,1.37,14.21,6.78,bulk buyers
20.62,1.88,49.57,2.32,bargain hunters
28.28,14.38,11.44,3.25,weekly regulars
10.82,1.83,82.33,1.03,bargain hunters
23.9,8.77,12.3,4.15,weekly regulars
37.62,6.05,9.95,3.37,weekly regulars
46.93,6.71,6.61,2.95,weekly regulars
97.73,1.18,7.03,6.46,bulk buyers
11.6,0.89,39.86,1.45,bargain hunters
24.25,3.22,37.04,1.16,bargain hunters
207.68,1.2,7.04,5.39,bulk buyers
10.24,2.37,55.8,1.41,bargain hunters
47.27,9.17,9.88,3.31,weekly regulars
66.92,10.36,11.75,2.9,weekly regulars
19.79,6.9,11.19,2.04,weekly regulars
13.56,2.28,13.84,0.3,unclassifiable
16.39,2.25,53.32,1.26,bargain hunters
12.5,2.37,38.02,1.74,bargain hunters
174.66,1.07,6.75,7.28,bulk buyers
33.96,9.38,11.33,1.85,weekly regulars
22.59,2.04,57.8,1.66,bargain hunters
124.82,1.49,9.03,6.06,bulk buyers
36.09,6.71,10.37,3.28,weekly regulars
43.94,6.95,16.91,2.83,weekly regulars
12.6,2.97,31.03,1.23,bargain hunters
33.49,7.17,11.69,2.56,weekly regulars
34.48,5.65,10.62,2.27,weekly regulars
99.37,1.07,6.32,6.82,bulk buyers
30.23,0.61,62.75,1.32,lapsed
44.87,6.45,12.59,3.62,weekly regulars
14.64,1.82,63.45,0.73,bargain hunters
30.28,10.99,14.33,3.82,weekly regulars
22.6,9.08,11.99,4.15,weekly regulars
30.13,6.28,17.02,3.0,weekly regulars
12.62,0.61,37.83,0.93,lapsed
13.51,2.07,63.17,1.56,bargain hunters
54.86,4.39,18.96,7.6,unclassifiable
20.5,0.47,88.83,1.61,lapsed
18.6,2.87,36.63,1.24,bargain hunters
9.45,2.08,46.41,1.18,bargain hunters
12.06,2.06,45.37,1.87,bargain hunters
15.46,1.53,41.14,1.79,bargain hunters
21.64,0.74,53.84,1.53,bargain hunters
20.36,11.44,16.5,3.65,weekly regulars
16.18,1.27,54.07,1.13,bargain hunters
24.4,9.52,11.6,3.2,weekly regulars
44.89,9.7,16.21,3.2,weekly regulars
45.47,6.88,11.64,2.2,weekly regulars
19.29,1.93,61.21,1.7,bargain hunters
32.69,2.12,46.03,1.4,bargain hunters
31.84,11.51,13.36,1.39,weekly regulars
32.86,9.1,5.89,3.41,weekly regulars
22.25,15.06,10.59,1.9,weekly regulars
26.42,0.94,64.49,1.51,bargain hunters
38.4,10.35,13.76,2.93,weekly regulars
27.81,0.34,98.75,1.12,lapsed
37.24,8.46,14.83,4.35,weekly regulars
25.32,2.18,49.99,1.09,bargain hunters
33.72,0.4,73.9,1.21,lapsed
7.69,2.87,53.06,1.82,unclassifiable
17.25,0.42,78.88,0.79,lapsed
32.75,6.28,8.05,2.63,weekly regulars
21.2,2.3,20.46,0.85,bargain hunters
40.46,10.71,12.45,2.82,weekly regulars
20.44,1.76,48.51,1.45,bargain hunters
76.66,1.39,7.08,5.73,bulk buyers
25.93,8.41,6.9,2.37,weekly regulars
12.34,1.59,55.8,1.09,bargain hunters
56.91,6.12,13.08,3.15,weekly regulars
35.41,0.46,71.45,1.15,lapsed
20.46,2.48,33.35,1.75,bargain hunters
22.18,0.41,90.21,1.26,lapsed
44.1,11.15,11.02,2.18,weekly regulars
25.73,2.26,54.57,1.38,bargain hunters
25.04,2.92,17.83,1.82,bargain hunters
19.76,0.35,86.59,0.99,lapsed
174.85,1.52,8.62,5.97,bulk buyers
190.13,1.62,8.92,5.21,bulk buyers
21.29,0.23,67.4,0.75,lapsed
29.62,8.56,5.16,3.79,weekly regulars
137.09,1.84,115.78,3.43,unclassifiable
26.53,5.47,6.56,3.29,weekly regulars
19.72,0.41,54.98,1.08,lapsed
29.58,0.41,129.55,1.28,lapsed
11.14,1.58,55.04,1.39,bargain hunters
21.52,3.03,39.07,1.72,bargain hunters
11.34,1.83,32.35,1.41,bargain hunters
9.76,2.03,22.31,1.61,bargain hunters
16.56,2.29,27.73,1.46,bargain hunters
12.82,3.27,53.25,1.87,bargain hunters
31.57,7.36,12.64,4.28,weekly regulars
29.55,8.75,12.69,3.31,weekly regulars
53.06,12.64,6.94,4.11,weekly regulars
15.5,0.69,49.97,1.17,lapsed
37.51,9.68,13.79,3.28,weekly regulars
16.0,2.49,38.3,1.2,bargain hunters
14.53,0.28,69.54,1.03,lapsed
90.69,1.16,7.89,5.96,bulk buyers
155.05,1.98,8.02,6.67,bulk buyers
122.5,1.39,10.22,5.97,bulk buyers
31.89,2.5,38.29,1.89,bargain hunters
36.44,2.67,31.79,1.66,bargain hunters
28.17,4.42,14.98,3.78,weekly regulars
10.83,2.54,16.09,1.62,bargain hunters
33.31,6.49,15.61,3.5,weekly regulars
20.23,2.21,52.17,3.91,unclassifiable
70.2,8.44,10.16,2.93,weekly regulars
161.3,1.64,11.28,6.2,bulk buyers
29.0,10.76,9.71,3.54,weekly regulars
13.35,0.4,32.4,0.92,lapsed
32.68,12.31,13.15,2.36,weekly regulars
98.14,1.65,11.76,6.83,bulk buyers
21.15,2.53,52.66,1.14,bargain hunters
115.22,1.4,10.18,5.11,bulk buyers
18.75,0.57,83.37,1.16,lapsed
28.07,11.04,11.68,2.69,weekly regulars
20.85,5.83,8.84,2.55,weekly regulars
25.64,1.25,52.92,1.14,bargain hunters
62.67,13.02,15.53,3.26,weekly regulars
28.09,10.0,11.74,2.26,weekly regulars
26.07,10.22,11.94,3.43,weekly regulars
20.96,0.59,63.78,1.18,lapsed
24.82,6.85,13.19,2.63,weekly regulars
27.99,10.09,14.52,2.08,weekly regulars
11.81,0.41,75.71,1.14,lapsed
22.03,1.91,37.82,1.66,bargain hunters
21.99,7.44,13.65,2.61,weekly regulars
158.98,1.31,10.6,7.07,bulk buyers
14.9,0.45,71.17,0.83,lapsed
15.72,0.48,87.56,1.46,lapsed
9.32,2.73,43.09,1.4,bargain hunters
24.54,0.3,81.2,1.04,lapsed
23.01,3.14,56.18,1.68,bargain hunters
25.5,8.42,21.54,0.92,unclassifiable
21.19,1.71,43.61,0.87,bargain hunters
117.47,1.98,9.29,6.08,bulk buyers
137.36,1.3,13.18,6.72,bulk buyers
48.46,9.2,15.12,2.92,weekly regulars
40.77,4.53,10.36,3.21,weekly regulars
39.3,8.68,11.59,2.0,weekly regulars
128.04,1.91,7.76,2.1,bulk buyers
19.78,1.67,41.03,1.26,bargain hunters
195.16,1.76,10.1,9.72,bulk buyers
17.61,2.12,43.42,1.14,bargain hunters
18.45,0.29,92.48,0.89,lapsed
74.1,1.06,7.08,6.08,bulk buyers
49.2,9.57,14.91,3.55,weekly regulars
16.35,0.46,67.63,0.88,lapsed
148.44,1.36,6.88,5.7,bulk buyers
27.89,5.38,12.65,3.31,weekly regulars
15.99,2.47,33.46,1.63,bargain hunters
16.41,1.91,48.33,1.34,bargain hunters
58.73,10.19,11.18,3.1,weekly regulars
52.16,7.71,12.99,3.99,weekly regulars
18.8,0.3,57.69,0.89,lapsed
12.86,0.57,40.8,1.21,lapsed
20.65,2.88,55.66,1.51,bargain hunters
17.01,0.52,75.54,1.17,lapsed
75.39,1.02,2.04,7.21,bulk buyers
29.17,10.58,9.38,4.25,weekly regulars
41.04,7.89,12.44,3.23,weekly regulars
20.18,2.56,59.36,1.26,bargain hunters
57.76,8.54,15.78,3.16,weekly regulars
41.0,4.45,3.59,0.37,unclassifiable
16.01,2.81,52.79,1.17,bargain hunters
112.54,2.08,6.5,7.48,bulk buyers
131.53,1.24,7.11,6.18,bulk buyers
22.79,5.62,16.08,1.16,weekly regulars
15.83,0.52,35.19,0.91,lapsed
56.8,7.49,14.96,3.32,weekly regulars
18.49,11.3,7.77,4.64,weekly regulars
27.21,8.63,5.82,2.95,weekly regulars
19.19,7.76,6.05,3.46,weekly regulars
26.42,0.33,76.68,1.29,lapsed
36.25,10.17,12.9,3.21,weekly regulars
94.67,1.01,10.14,7.09,bulk buyers
52.62,10.16,13.5,2.14,weekly regulars
38.13,6.94,8.36,2.18,weekly regulars
11.05,2.45,60.05,1.92,bargain hunters
20.76,3.25,51.89,1.7,bargain hunters
25.66,2.88,47.21,2.14,bargain hunters
190.21,0.74,2.86,5.14,bulk buyers
24.22,1.08,41.7,0.88,bargain hunters
37.2,2.14,26.33,1.19,bargain hunters
16.26,3.14,47.77,1.57,bargain hunters
95.68,1.71,4.62,7.79,bulk buyers
23.25,0.56,70.52,1.15,lapsed
104.97,1.44,12.22,4.23,bulk buyers
26.22,5.31,1.56,2.78,weekly regulars
13.78,0.44,77.6,1.17,lapsed
24.24,0.4,55.16,1.08,lapsed
118.94,1.85,6.41,7.42,bulk buyers
52.85,8.19,13.52,3.17,weekly regulars
30.5,5.17,13.24,4.86,weekly regulars
34.15,9.86,11.58,4.18,weekly regulars
40.3,2.23,10.55,3.64,weekly regulars
19.89,5.61,10.71,1.44,weekly regulars
18.55,2.49,35.13,1.53,bargain hunters
16.67,5.2,41.87,2.23,unclassifiable
16.26,0.24,82.45,0.75,lapsed
149.2,1.67,7.11,8.28,bulk buyers
151.33,1.17,10.5,7.28,bulk buyers
42.87,7.31,13.42,2.13,weekly regulars
129.26,1.2,10.17,6.34,bulk buyers
163.31,1.17,14.68,5.26,bulk buyers
22.6,12.9,8.67,3.44,weekly regulars
20.52,2.61,31.61,1.57,bargain hunters
24.44,2.53,40.65,1.27,bargain hunters
116.43,1.6,12.23,6.18,bulk buyers
20.02,9.99,17.22,4.27,weekly regulars
32.27,2.94,33.92,1.01,bargain hunters
17.92,0.49,75.1,1.2,lapsed
29.0,7.58,14.04,4.42,weekly regulars
19.89,2.11,34.76,1.52,bargain hunters
127.34,1.6,10.88,5.56,bulk buyers
24.64,1.48,30.2,1.15,bargain hunters
40.31,10.93,9.4,3.27,weekly regulars
115.89,0.8,10.23,5.12,bulk buyers
13.73,2.3,33.63,2.06,bargain hunters
