Department,YearsAtCompany,MonthlyIncome,OverTime,CommuteMinutes,JobSatisfaction,YearsSincePromotion,Attrition
R&D,12.9,3542.0,No,14.0,3.1,2.0,0
Sales,4.9,6217.0,Yes,3.0,4.1,3.9,0
R&D,8.1,6867.0,No,18.0,2.9,7.6,0
Support,13.3,4542.0,No,12.0,2.2,2.8,0
R&D,3.1,6917.0,No,10.0,2.5,4.5,0
R&D,4.7,4983.0,No,14.0,2.2,3.0,0
R&D,1.4,5850.0,Yes,5.0,1.7,0.8,0
Support,2.6,4308.0,No,11.0,2.9,0.1,0
Sales,0.9,4217.0,Yes,15.0,2.6,1.4,1
R&D,5.0,3167.0,No,18.0,2.9,2.9,1
R&D,11.5,5750.0,No,13.0,5.0,0.9,0
Sales,8.0,4992.0,Yes,19.0,4.1,1.2,0
R&D,6.5,5033.0,No,37.0,4.6,3.6,0
R&D,8.0,3725.0,No,1.0,3.3,3.4,0
R&D,1.6,3667.0,No,19.0,3.5,5.5,0
Support,2.4,4467.0,No,15.0,2.5,3.5,1
R&D,7.6,6125.0,No,26.0,1.6,2.1,0
Sales,3.4,5867.0,Yes,2.0,1.8,1.9,0
R&D,3.5,4392.0,Yes,37.0,2.9,6.6,0
Sales,5.0,5858.0,No,20.0,3.7,2.7,0
R&D,2.7,8050.0,Yes,8.0,5.0,2.5,0
R&D,5.9,5575.0,No,4.0,3.2,8.0,0
R&D,21.0,8450.0,No,4.0,1.8,1.9,0
R&D,6.1,6067.0,No,22.0,2.9,2.2,0
Sales,4.3,7417.0,No,6.0,3.7,1.8,1
Sales,8.3,4625.0,No,24.0,2.2,1.1,1
Sales,7.4,7175.0,No,2.0,2.8,1.0,0
Support,0.9,3642.0,No,24.0,3.7,1.6,0
Sales,21.4,5783.0,No,26.0,3.4,2.7,0
R&D,5.4,4917.0,No,8.0,3.6,6.6,0
R&D,1.8,2425.0,Yes,12.0,3.3,2.7,0
R&D,10.0,3367.0,No,26.0,3.2,0.9,0
Sales,9.3,7117.0,No,14.0,4.5,0.8,0
R&D,22.3,6150.0,Yes,12.0,4.1,0.2,0
Support,1.7,7358.0,Yes,10.0,3.5,3.2,0
R&D,13.7,5708.0,Yes,18.0,3.8,1.4,0
Sales,11.1,2083.0,No,7.0,3.2,3.8,0
R&D,2.0,5792.0,No,5.0,3.2,1.9,0
R&D,14.8,4558.0,No,3.0,3.6,1.8,0
Support,4.0,4658.0,No,19.0,3.5,3.4,0
R&D,2.0,4742.0,No,7.0,5.0,7.5,0
R&D,8.3,4267.0,No,5.0,3.5,2.0,0
R&D,1.5,3975.0,No,42.0,3.7,1.9,0
R&D,5.7,7275.0,No,14.0,5.0,2.0,0
R&D,5.5,6083.0,Yes,12.0,2.4,1.7,0
Support,8.4,4433.0,No,2.0,3.4,3.6,0
Sales,6.6,4775.0,Yes,7.0,4.5,1.5,0
Support,7.4,6875.0,Yes,10.0,3.5,8.5,0
R&D,0.6,5983.0,No,41.0,3.3,7.1,0
Support,4.6,5700.0,No,7.0,2.5,2.4,0
R&D,5.0,3567.0,No,9.0,3.3,0.8,0
Sales,6.5,4758.0,Yes,10.0,2.7,4.2,1
Sales,4.0,3708.0,No,3.0,4.3,3.8,0
R&D,17.1,2533.0,No,6.0,3.8,1.2,0
Sales,4.3,6750.0,No,6.0,3.0,3.9,0
Support,7.3,4917.0,Yes,10.0,4.4,0.6,0
Sales,9.4,4792.0,Yes,23.0,2.4,1.3,1
R&D,6.9,3967.0,No,11.0,2.5,0.5,0
R&D,2.4,6542.0,No,42.0,4.0,7.3,0
Sales,4.2,8542.0,No,18.0,3.6,1.6,0
Sales,6.9,6283.0,No,9.0,2.3,0.3,0
Sales,3.2,6800.0,No,2.0,2.6,0.5,0
R&D,9.1,3533.0,No,4.0,3.1,4.2,0
Support,18.1,5667.0,No,53.0,2.7,1.7,0
R&D,6.6,5733.0,No,1.0,3.5,2.2,0
R&D,6.5,7642.0,No,9.0,3.2,4.7,0
R&D,1.7,5417.0,No,14.0,3.8,0.4,0
R&D,4.9,3992.0,Yes,6.0,3.2,2.1,1
R&D,4.0,5308.0,No,13.0,3.6,0.3,0
R&D,9.0,4750.0,Yes,13.0,2.9,5.1,0
Support,3.5,7575.0,No,12.0,3.7,1.0,0
R&D,4.5,6400.0,Yes,1.0,3.6,1.8,0
Sales,4.3,5917.0,No,11.0,4.0,1.0,0
R&D,10.5,5675.0,Yes,47.0,3.6,0.4,0
Support,2.5,6667.0,No,14.0,2.9,7.4,0
R&D,3.3,4667.0,No,14.0,3.2,3.2,0
R&D,2.0,4025.0,No,8.0,4.5,0.6,0
Sales,8.9,2583.0,No,18.0,3.1,5.9,0
R&D,2.6,7183.0,No,5.0,3.4,1.7,0
R&D,6.1,6158.0,No,22.0,4.8,1.0,0
Sales,9.8,6367.0,No,7.0,3.9,1.1,0
Sales,1.8,5458.0,No,11.0,3.9,2.4,0
Support,6.9,7892.0,No,9.0,2.5,0.8,1
R&D,6.9,3925.0,Yes,14.0,2.5,1.0,0
R&D,4.4,7200.0,No,6.0,3.6,4.7,0
R&D,11.0,4133.0,No,4.0,5.0,0.1,0
R&D,7.2,4717.0,No,10.0,1.6,3.7,0
Support,9.1,3567.0,No,1.0,1.8,3.8,1
Sales,13.7,5533.0,No,10.0,3.8,4.4,0
R&D,10.4,4958.0,Yes,24.0,3.5,0.5,0
R&D,9.8,6042.0,No,10.0,2.4,1.3,0
Sales,3.7,4508.0,Yes,7.0,4.1,4.2,0
Sales,7.5,3300.0,No,6.0,3.5,0.9,0
R&D,5.1,6242.0,No,7.0,2.9,0.6,0
R&D,6.6,7317.0,No,6.0,3.2,0.5,0
R&D,8.1,6492.0,Yes,16.0,2.8,3.9,1
R&D,4.5,5308.0,No,7.0,3.6,1.8,0
Support,3.8,5992.0,Yes,6.0,2.6,2.0,1
R&D,3.1,2842.0,No,4.0,2.3,2.4,0
Support,5.7,4883.0,Yes,7.0,2.6,3.5,1
Support,5.9,7125.0,No,10.0,3.6,0.7,0
R&D,2.2,6075.0,Yes,5.0,4.3,7.1,0
Sales,1.4,4100.0,No,12.0,2.7,4.2,1
Support,6.3,6667.0,No,5.0,2.4,3.2,0
Sales,6.5,5183.0,No,19.0,3.6,1.3,0
Support,2.0,6475.0,Yes,6.0,4.3,0.4,0
R&D,4.2,3267.0,No,3.0,2.9,0.6,0
Sales,4.9,4592.0,No,5.0,4.7,6.8,0
Support,13.1,5867.0,No,3.0,2.6,0.1,0
Support,15.9,5833.0,No,10.0,4.6,4.6,0
Sales,3.4,6208.0,Yes,1.0,3.9,2.1,0
Sales,7.7,5367.0,Yes,10.0,1.7,1.0,0
Sales,10.2,5083.0,No,12.0,3.8,4.4,0
Sales,16.1,6092.0,Yes,13.0,3.1,2.6,1
R&D,1.9,6675.0,No,20.0,3.1,2.6,0
Sales,4.2,3108.0,No,8.0,2.6,1.0,0
R&D,7.3,4900.0,No,22.0,3.3,5.3,0
R&D,4.3,5075.0,No,16.0,2.7,0.8,0
Support,4.5,5617.0,No,13.0,3.4,4.8,0
R&D,1.0,6900.0,No,1.0,4.3,1.3,0
R&D,1.5,3392.0,Yes,15.0,4.5,3.8,1
Support,3.4,6183.0,No,13.0,4.3,1.7,1
Support,2.3,2792.0,Yes,10.0,4.1,0.1,1
R&D,4.7,4250.0,No,19.0,3.7,1.8,0
R&D,22.9,4600.0,No,8.0,3.1,2.5,0
R&D,3.3,4975.0,No,9.0,2.3,14.3,0
Support,4.6,4467.0,No,5.0,4.2,3.4,0
R&D,1.4,4617.0,No,22.0,2.9,1.0,0
Sales,1.9,4875.0,No,6.0,3.5,1.5,0
R&D,7.2,4975.0,No,25.0,2.0,7.1,0
Support,7.5,2625.0,No,5.0,3.7,1.2,0
Support,10.0,3292.0,No,5.0,4.6,0.9,0
R&D,7.1,4733.0,Yes,20.0,3.2,2.6,0
R&D,4.4,6175.0,No,7.0,4.1,0.4,0
Support,8.5,6883.0,No,3.0,3.2,3.1,0
Sales,2.7,9650.0,Yes,42.0,3.4,3.5,1
R&D,9.8,5542.0,Yes,2.0,2.9,0.3,0
R&D,0.5,4208.0,No,9.0,1.0,1.6,0
R&D,19.0,5650.0,No,6.0,3.6,3.7,0
R&D,3.6,6400.0,No,10.0,3.7,5.1,1
Sales,7.9,5592.0,Yes,14.0,3.8,7.0,1
R&D,5.7,3800.0,No,8.0,4.9,1.4,0
Support,9.2,5233.0,No,12.0,4.1,2.8,0
Support,1.7,5325.0,Yes,6.0,3.7,1.0,0
Sales,6.7,3283.0,No,14.0,2.7,2.3,1
R&D,8.0,3583.0,No,21.0,5.0,1.6,0
Support,8.1,7175.0,No,13.0,2.1,1.7,0
Sales,1.7,2083.0,No,10.0,2.9,3.5,0
Support,13.4,5642.0,No,20.0,2.8,9.6,0
Support,5.4,5000.0,Yes,16.0,4.3,1.9,0
R&D,13.8,7458.0,No,16.0,3.6,2.1,0
Support,7.1,6300.0,No,11.0,3.8,0.5,0
Sales,3.0,4100.0,No,3.0,1.7,1.1,0
Sales,2.8,7267.0,No,9.0,2.8,1.4,0
Support,5.1,4550.0,No,5.0,4.3,5.3,0
R&D,0.6,8358.0,Yes,16.0,2.8,0.9,0
R&D,7.0,7858.0,No,3.0,2.2,1.7,0
R&D,4.1,5267.0,Yes,17.0,3.5,2.0,0
Sales,8.8,6542.0,No,13.0,2.8,2.2,0
Sales,2.9,5667.0,No,4.0,3.3,2.2,0
Sales,4.3,4042.0,No,1.0,3.6,3.3,0
Sales,1.4,6975.0,Yes,4.0,2.4,1.5,1
Sales,2.7,6025.0,Yes,12.0,3.3,6.8,0
Sales,5.1,6658.0,No,16.0,4.5,5.4,0
Sales,4.1,6992.0,Yes,2.0,3.1,1.8,1
Support,2.5,7500.0,No,20.0,3.1,6.1,1
Support,3.0,6942.0,No,7.0,2.8,4.4,0
R&D,5.4,5267.0,Yes,9.0,3.6,3.8,0
Sales,1.5,5533.0,No,6.0,3.8,8.1,0
R&D,15.0,6017.0,No,6.0,2.5,4.2,0
Sales,4.8,5225.0,No,1.0,3.4,2.0,1
Support,11.8,5050.0,No,10.0,4.9,0.8,0
Sales,5.9,8175.0,No,10.0,1.8,1.6,0
R&D,10.1,6133.0,Yes,2.0,4.2,1.8,0
Sales,7.3,8225.0,No,6.0,4.1,4.5,0
Sales,11.4,4258.0,Yes,8.0,1.9,1.7,1
R&D,11.2,5350.0,No,10.0,1.8,2.6,0
R&D,4.4,4758.0,No,17.0,2.8,0.5,0
Sales,2.7,4825.0,No,2.0,4.6,1.7,0
Sales,5.0,4975.0,No,23.0,2.7,2.8,1
R&D,2.2,5225.0,No,8.0,3.3,1.0,0
R&D,5.9,4767.0,No,7.0,3.4,4.9,0
Sales,3.0,8092.0,Yes,10.0,3.2,2.5,1
Support,9.3,6417.0,Yes,15.0,5.0,1.8,0
Sales,5.1,4308.0,No,11.0,3.6,3.0,0
R&D,4.5,4600.0,No,12.0,2.2,5.6,0
Support,3.7,6517.0,Yes,5.0,3.6,1.4,0
R&D,9.4,6225.0,No,13.0,3.9,0.2,0
R&D,4.3,4508.0,No,3.0,2.3,1.5,0
R&D,6.7,6783.0,No,26.0,3.5,0.9,1
R&D,12.0,3283.0,No,24.0,2.7,2.4,0
Support,9.3,4708.0,Yes,18.0,2.1,5.5,0
R&D,2.9,7975.0,Yes,6.0,2.5,1.6,0
R&D,7.0,2083.0,No,21.0,4.0,3.3,0
Sales,11.8,5108.0,No,4.0,3.1,6.3,0
R&D,5.2,6883.0,Yes,11.0,1.8,1.5,0
R&D,1.0,5200.0,Yes,12.0,4.0,1.0,0
Support,3.4,4250.0,No,14.0,3.0,0.8,0
R&D,3.3,4092.0,No,9.0,1.0,0.2,1
Sales,5.6,2325.0,No,16.0,2.3,0.0,0
Sales,20.5,3442.0,No,29.0,1.1,3.1,0
R&D,8.5,5508.0,Yes,7.0,2.7,0.2,0
Sales,3.7,4567.0,No,20.0,5.0,1.0,0
R&D,11.0,5392.0,No,5.0,5.0,2.9,0
Support,1.9,5192.0,Yes,7.0,3.5,2.2,0
Support,4.1,5833.0,No,5.0,2.5,3.8,0
Sales,8.2,2950.0,No,15.0,2.2,10.6,1
Sales,4.5,4958.0,No,10.0,2.6,2.2,0
R&D,15.5,4908.0,No,24.0,3.5,1.1,0
R&D,13.8,4950.0,No,5.0,4.5,2.3,0
R&D,1.3,4092.0,Yes,10.0,3.3,6.1,1
R&D,7.1,2158.0,No,6.0,4.5,4.1,0
R&D,2.2,6350.0,Yes,6.0,3.2,1.7,0
Support,2.2,6625.0,No,16.0,1.4,3.3,0
Sales,2.0,8933.0,No,32.0,3.6,1.6,0
R&D,3.4,6500.0,Yes,8.0,4.3,0.1,0
R&D,4.5,7850.0,No,26.0,3.9,0.4,0
R&D,13.0,6300.0,Yes,6.0,4.3,1.8,0
Sales,8.4,4850.0,Yes,4.0,2.4,2.8,0
R&D,7.1,6150.0,No,8.0,3.1,6.3,0
R&D,6.3,3683.0,Yes,11.0,3.3,4.9,0
R&D,2.3,5775.0,No,26.0,3.6,4.4,0
R&D,3.9,5250.0,No,5.0,3.8,0.6,0
Support,10.2,3850.0,No,6.0,4.2,0.5,0
Support,8.6,7233.0,No,11.0,2.9,6.6,0
Support,7.7,7075.0,No,7.0,2.3,1.5,0
Sales,1.5,6100.0,No,14.0,2.9,3.9,1
R&D,7.7,6625.0,No,13.0,3.1,1.7,0
R&D,0.9,7858.0,No,8.0,2.9,6.6,0
Sales,2.0,5217.0,No,10.0,2.4,5.6,0
Support,8.5,3408.0,No,19.0,4.1,0.2,0
Support,4.3,4000.0,No,3.0,4.2,1.5,0
Sales,11.9,6458.0,No,18.0,4.2,0.7,0
R&D,1.2,5758.0,No,20.0,4.0,0.7,1
R&D,8.5,3208.0,No,2.0,3.8,1.6,0
Support,13.8,7383.0,No,2.0,2.9,6.2,0
Support,15.8,5742.0,No,4.0,2.9,1.0,0
Support,6.4,7817.0,No,2.0,3.6,2.7,0
Sales,16.2,7100.0,Yes,2.0,1.6,0.3,0
R&D,2.7,4775.0,Yes,6.0,3.5,0.7,1
Support,3.9,5567.0,No,3.0,1.5,4.3,0
Sales,8.7,4333.0,Yes,24.0,5.0,9.5,0
Sales,2.6,4175.0,No,3.0,3.9,2.4,0
Sales,7.5,4983.0,Yes,9.0,2.7,0.4,0
Sales,9.1,6175.0,Yes,9.0,3.3,2.2,0
R&D,17.6,7467.0,No,20.0,2.8,1.1,0
R&D,7.3,4108.0,No,16.0,4.8,1.1,0
R&D,2.7,6475.0,No,4.0,4.4,3.5,0
R&D,6.6,5492.0,No,13.0,3.4,4.7,0
R&D,13.3,5108.0,Yes,6.0,2.9,0.8,0
Sales,2.3,7117.0,Yes,8.0,3.9,0.8,0
Sales,9.8,4908.0,Yes,16.0,3.6,3.1,1
R&D,7.2,7492.0,No,1.0,3.3,1.8,0
R&D,12.0,4950.0,No,8.0,2.8,0.4,0
Support,8.4,4075.0,No,18.0,1.9,3.0,0
R&D,9.5,6592.0,Yes,3.0,2.1,2.7,0
Support,11.4,3283.0,No,13.0,2.6,2.2,0
Support,12.0,3683.0,Yes,24.0,1.8,1.0,0
Support,2.6,5175.0,No,25.0,2.4,1.5,0
R&D,8.9,5458.0,Yes,15.0,5.0,5.0,0
R&D,6.4,5058.0,No,16.0,3.3,2.7,0
Support,8.4,2517.0,No,10.0,4.0,2.3,0
R&D,15.9,3467.0,No,21.0,2.8,1.3,0
R&D,6.5,6217.0,Yes,25.0,4.6,2.3,0
Sales,1.8,6258.0,No,38.0,3.4,2.7,1
Sales,2.0,3958.0,No,31.0,4.1,0.5,0
R&D,11.1,5858.0,No,30.0,4.4,3.8,0
Support,3.9,5767.0,No,14.0,3.7,5.7,0
Support,6.2,6975.0,Yes,2.0,5.0,1.9,0
Sales,7.6,4367.0,No,8.0,2.5,0.8,0
Sales,7.2,7633.0,No,13.0,3.0,1.9,0
Support,5.7,5008.0,No,6.0,3.8,2.4,0
R&D,16.4,7617.0,No,7.0,3.2,3.5,0
Sales,9.6,6842.0,No,2.0,3.8,2.5,0
Sales,3.9,3958.0,No,4.0,5.0,3.0,0
Sales,2.9,5000.0,Yes,4.0,3.0,1.5,0
Support,3.5,5892.0,No,52.0,3.6,0.4,0
R&D,12.2,6983.0,No,3.0,2.8,2.3,0
Sales,11.7,3400.0,Yes,10.0,2.6,2.0,0
Support,9.9,4725.0,No,20.0,1.5,3.5,0
Sales,6.2,6400.0,No,14.0,3.8,2.4,0
R&D,9.7,6183.0,No,5.0,4.6,2.3,0
R&D,6.6,3900.0,No,6.0,3.4,2.8,0
Support,2.1,4125.0,No,6.0,4.5,3.5,1
Sales,7.5,6108.0,No,21.0,2.1,2.4,0
R&D,4.1,3942.0,Yes,8.0,3.2,1.1,0
Sales,4.2,5817.0,No,21.0,3.2,5.0,1
Support,2.0,6833.0,No,4.0,4.0,3.2,0
Support,5.2,5492.0,Yes,8.0,3.4,1.6,0
Sales,2.4,2083.0,Yes,14.0,3.8,1.5,1
Sales,2.3,7217.0,No,3.0,4.7,2.9,0
R&D,3.9,7183.0,No,8.0,2.3,3.4,0
R&D,2.4,7583.0,Yes,6.0,3.2,3.3,0
Support,7.9,6750.0,No,5.0,3.7,4.4,0
Support,3.8,2958.0,No,6.0,2.7,1.1,0
Sales,6.3,7583.0,No,4.0,3.7,6.3,0
R&D,14.8,5983.0,No,33.0,1.7,1.3,0
Sales,7.4,6867.0,No,3.0,2.4,0.2,0
R&D,4.6,5233.0,No,8.0,3.1,0.3,0
Support,8.8,5100.0,No,3.0,1.6,2.8,0
R&D,5.7,5117.0,No,7.0,5.0,1.6,0
R&D,5.5,7850.0,Yes,3.0,5.0,1.2,0
Sales,6.7,5875.0,Yes,9.0,4.5,2.9,1
R&D,5.3,5167.0,No,21.0,4.1,2.1,0
Sales,4.1,3558.0,No,2.0,4.2,4.0,1
Sales,4.4,6175.0,No,10.0,3.1,3.3,1
R&D,7.7,5483.0,No,36.0,3.1,1.2,0
R&D,3.9,5700.0,Yes,4.0,1.4,2.3,1
Sales,14.0,6942.0,No,17.0,4.2,3.2,0
R&D,7.5,6550.0,No,15.0,3.1,0.4,1
Sales,8.3,5475.0,No,7.0,1.5,2.5,0
R&D,7.5,5792.0,No,8.0,2.5,2.2,0
Support,17.5,5608.0,No,13.0,3.8,2.4,0
Support,11.9,6542.0,Yes,17.0,1.8,10.2,0
R&D,0.9,6500.0,Yes,1.0,2.8,1.9,0
Support,1.1,5683.0,No,23.0,1.3,3.9,0
R&D,1.9,4192.0,No,7.0,2.8,4.7,1
Sales,3.2,6733.0,No,12.0,3.2,1.5,0
Sales,5.9,6817.0,Yes,6.0,1.0,2.3,0
R&D,4.1,3867.0,Yes,12.0,2.6,2.0,0
Sales,8.6,6050.0,No,22.0,3.7,1.7,0
Sales,13.5,4892.0,No,8.0,2.9,4.3,0
Support,4.3,2200.0,No,32.0,4.7,1.9,0
R&D,15.4,5400.0,No,1.0,4.1,1.0,0
R&D,6.6,6883.0,No,26.0,4.4,2.7,1
R&D,8.2,4367.0,No,21.0,2.1,1.1,0
R&D,10.6,4408.0,No,6.0,2.4,0.3,0
Sales,8.3,6983.0,Yes,4.0,3.6,2.9,0
Support,5.2,3808.0,No,9.0,3.8,2.1,0
Support,0.7,4050.0,No,4.0,2.8,0.5,0
R&D,13.4,4983.0,No,7.0,3.1,3.5,0
Support,3.2,6383.0,No,4.0,2.4,1.4,0
Support,10.9,6392.0,No,9.0,2.8,0.6,0
R&D,9.0,4667.0,No,14.0,3.7,2.8,0
Support,4.9,4992.0,No,12.0,4.6,4.2,0
R&D,11.1,5583.0,No,16.0,3.8,3.3,0
R&D,4.0,4875.0,Yes,12.0,4.1,7.8,1
R&D,1.8,4158.0,No,12.0,3.4,1.9,1
Sales,7.9,3817.0,Yes,6.0,3.8,3.4,0
Sales,4.8,6517.0,No,7.0,4.2,6.9,0
R&D,2.3,5125.0,No,30.0,2.4,4.0,0
Sales,2.3,9733.0,No,7.0,4.2,7.1,0
Support,1.5,6383.0,No,7.0,3.9,1.8,0
Support,14.0,4325.0,Yes,21.0,4.2,1.9,0
Sales,8.1,5450.0,Yes,19.0,3.7,0.2,1
Sales,16.3,5958.0,No,19.0,2.7,5.5,1
R&D,1.8,6042.0,Yes,33.0,2.9,4.7,1
Support,4.0,6117.0,No,10.0,3.3,3.9,0
Sales,5.9,6125.0,Yes,10.0,1.0,1.5,0
R&D,5.9,5242.0,Yes,13.0,2.5,1.7,0
Sales,1.3,6425.0,Yes,39.0,2.7,3.8,0
Sales,4.8,8717.0,Yes,16.0,2.8,6.3,0
Sales,3.7,4792.0,No,8.0,2.4,1.7,0
Sales,1.7,4883.0,No,6.0,2.3,1.1,0
R&D,2.8,6508.0,No,5.0,3.0,3.0,0
Support,1.4,7317.0,Yes,21.0,2.7,0.3,0
R&D,4.0,6675.0,Yes,20.0,4.5,2.0,0
Support,5.0,7267.0,Yes,12.0,3.3,1.1,0
R&D,3.4,5375.0,Yes,1.0,3.2,5.2,0
Sales,6.7,5108.0,No,8.0,4.0,5.3,0
R&D,15.7,6425.0,No,16.0,3.2,0.8,0
Support,6.0,6458.0,Yes,13.0,3.2,3.9,0
Sales,10.5,7950.0,Yes,6.0,4.4,4.8,0
R&D,1.1,7775.0,No,8.0,4.2,0.6,0
Sales,8.2,2717.0,Yes,7.0,3.1,3.3,1
R&D,12.3,6608.0,No,17.0,2.1,0.7,0
Sales,1.3,4450.0,No,12.0,2.7,6.1,1
R&D,16.0,2300.0,No,19.0,3.8,0.7,0
R&D,1.6,6033.0,No,7.0,1.8,1.7,1
R&D,12.3,5192.0,No,4.0,3.0,1.4,0
Support,4.1,4925.0,No,7.0,3.2,0.8,0
Support,6.7,3525.0,No,25.0,1.9,3.0,0
R&D,19.2,3925.0,No,17.0,4.4,6.0,0
R&D,12.3,5117.0,Yes,2.0,3.0,3.9,0
Sales,8.0,3208.0,No,5.0,1.9,0.5,0
R&D,2.8,5275.0,Yes,14.0,2.4,3.3,0
R&D,2.5,5608.0,No,27.0,3.7,3.1,0
R&D,3.4,5208.0,No,5.0,4.5,3.0,0
R&D,5.0,5883.0,No,39.0,3.6,2.1,0
Support,5.8,5333.0,No,10.0,3.5,1.7,0
Support,6.6,3692.0,Yes,18.0,3.1,0.9,0
Sales,2.5,3883.0,No,2.0,4.8,1.1,0
R&D,2.5,5633.0,Yes,16.0,4.5,2.7,0
R&D,11.9,6875.0,No,56.0,1.8,4.7,1
Sales,6.4,5650.0,Yes,13.0,3.3,1.0,1
R&D,2.4,4675.0,Yes,6.0,3.8,5.6,0
Support,6.8,5675.0,Yes,8.0,3.1,0.8,0
Support,11.7,2725.0,No,6.0,3.7,6.3,0
R&D,8.3,3942.0,Yes,10.0,3.9,2.3,0
Sales,2.1,4858.0,No,5.0,2.5,3.5,0
Sales,4.0,5325.0,No,36.0,4.5,5.4,0
Sales,1.3,4933.0,No,24.0,3.4,1.4,0
Sales,3.7,5017.0,No,12.0,4.3,0.5,0
Sales,2.0,3650.0,No,1.0,3.6,1.5,1
Support,1.0,4567.0,No,18.0,3.2,0.8,0
R&D,4.8,5792.0,Yes,20.0,4.5,3.7,0
R&D,3.0,2667.0,No,7.0,3.6,0.1,0
Support,1.2,3625.0,No,11.0,4.8,0.8,0
Sales,6.2,4900.0,No,11.0,3.9,2.0,0
Support,9.7,7633.0,Yes,12.0,5.0,8.6,0
Support,2.9,6425.0,No,13.0,2.6,4.6,0
Sales,11.4,7758.0,No,11.0,3.4,2.4,0
Sales,2.3,7425.0,No,4.0,2.6,4.8,0
R&D,10.1,4750.0,No,11.0,2.3,6.3,0
R&D,0.3,5308.0,No,4.0,3.5,0.5,0
Sales,8.2,3658.0,Yes,22.0,1.9,4.4,0
R&D,7.0,7175.0,Yes,8.0,3.2,3.4,0
Sales,8.6,6508.0,No,12.0,4.5,9.0,0
Support,7.0,6300.0,No,26.0,3.8,4.6,0
Sales,8.0,6408.0,No,8.0,2.8,1.7,0
Sales,4.0,6108.0,No,8.0,3.1,1.0,0
R&D,1.4,5733.0,No,16.0,4.0,2.4,0
R&D,10.9,5833.0,No,16.0,4.7,2.1,0
R&D,3.0,7225.0,No,5.0,3.1,3.8,1
R&D,14.9,4242.0,No,29.0,3.4,0.5,0
R&D,2.5,3858.0,Yes,4.0,3.7,1.0,0
R&D,5.8,5425.0,Yes,7.0,3.1,8.5,0
Support,2.3,7150.0,No,6.0,3.6,1.6,0
Sales,7.9,5775.0,No,9.0,3.5,0.9,0
R&D,1.2,5108.0,Yes,27.0,4.5,2.4,0
R&D,5.2,6667.0,No,24.0,2.8,1.6,1
Sales,3.9,5583.0,No,1.0,3.4,2.8,0
R&D,5.8,2583.0,No,8.0,3.6,5.5,0
R&D,0.2,3917.0,Yes,14.0,2.6,0.8,0
R&D,1.3,2292.0,No,11.0,3.0,2.4,0
Support,6.7,5092.0,No,5.0,3.3,2.8,0
R&D,5.2,4750.0,No,3.0,2.0,2.0,0
R&D,21.1,6075.0,No,7.0,2.8,0.9,0
R&D,4.3,8575.0,Yes,4.0,2.3,0.9,0
Support,1.6,4533.0,No,7.0,2.8,3.8,0
Support,6.9,5433.0,No,17.0,2.7,2.4,1
Sales,11.0,4850.0,Yes,8.0,2.8,2.7,0
Sales,12.0,2083.0,Yes,6.0,3.9,1.2,0
Support,0.3,4283.0,Yes,5.0,4.4,3.0,0
R&D,5.1,4350.0,No,2.0,4.1,2.1,0
Sales,4.8,5833.0,No,5.0,2.6,0.9,0
R&D,8.5,4175.0,No,24.0,3.6,2.4,0
Support,0.8,3492.0,No,2.0,2.1,1.1,0
R&D,13.2,6308.0,No,34.0,3.8,6.4,0
Support,2.9,5325.0,No,1.0,4.0,3.9,0
Sales,1.6,4092.0,No,19.0,3.0,0.7,0
Sales,5.6,4292.0,Yes,9.0,3.3,2.8,0
Support,6.6,4975.0,No,21.0,4.0,1.5,0
R&D,1.7,6650.0,No,5.0,4.0,0.7,0
R&D,11.0,7550.0,No,5.0,2.8,0.1,0
Sales,7.3,3475.0,No,4.0,2.6,1.3,0
R&D,4.5,7167.0,No,21.0,1.7,1.5,0
R&D,7.1,5508.0,Yes,24.0,3.0,0.4,0
R&D,7.8,5967.0,No,2.0,2.7,2.8,0
R&D,9.4,6875.0,No,11.0,3.3,3.9,0
R&D,7.5,3983.0,Yes,7.0,3.8,0.3,0
Sales,6.4,6708.0,No,4.0,2.0,1.4,0
Sales,12.6,3475.0,No,31.0,2.6,2.2,0
Sales,8.6,4733.0,No,10.0,3.0,2.9,0
Support,11.0,4158.0,No,15.0,1.8,5.1,0
R&D,3.5,7950.0,No,11.0,3.1,4.9,0
R&D,5.2,7875.0,Yes,28.0,2.8,6.9,0
Sales,7.6,6558.0,No,21.0,3.6,0.6,0
Support,3.3,6200.0,No,14.0,3.9,1.9,0
Sales,7.7,4642.0,No,2.0,3.9,3.0,0
R&D,24.6,8033.0,No,4.0,3.0,6.5,0
Support,5.2,7517.0,Yes,6.0,3.5,0.9,0
R&D,13.0,6775.0,Yes,4.0,3.5,4.1,0
Sales,1.0,5267.0,No,9.0,4.2,0.1,0
Sales,5.8,4917.0,No,5.0,1.6,7.2,0
Sales,0.9,5308.0,No,9.0,3.0,7.6,1
R&D,5.0,7425.0,No,16.0,2.6,3.2,1
R&D,4.5,4033.0,Yes,6.0,3.4,0.4,0
Sales,11.6,5617.0,Yes,6.0,4.2,1.4,0
R&D,11.2,7883.0,No,11.0,3.5,3.5,0
R&D,4.1,6767.0,No,12.0,3.4,0.1,0
R&D,3.8,8042.0,No,6.0,2.6,1.5,0
R&D,1.2,6067.0,Yes,5.0,3.6,2.1,1
R&D,15.8,6092.0,No,10.0,3.5,0.3,0
Sales,13.1,7517.0,No,7.0,2.4,0.6,0
