InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536167,S1006,Milk Frother,Equipment,3,2024-03-27,31.0,12187.0,Ireland
536168,S1005,Decaf Beans 1kg,Beans,6,2024-03-15,22.5,12390.0,United Kingdom
536168,S1003,Paper Filters x100,Supplies,9,2024-03-15,4.25,12390.0,United Kingdom
C536169,S1006,Milk Frother,Equipment,-10,2024-03-17,31.0,12056.0,United Kingdom
C536169,S1006,Milk Frother,Equipment,-2,2024-03-17,31.0,12056.0,United Kingdom
536169,S1003,Paper Filters x100,Supplies,10,2024-03-17,4.25,12056.0,United Kingdom
536170,S1000,Cold Brew Concentrate,Beverage,6,2024-03-22,12.5,12351.0,United Kingdom
536171,S1004,Travel Tumbler,Merch,8,2024-03-14,18.9,12348.0,United Kingdom
536171,S1001,Ceramic Mug,Merch,7,2024-03-14,8.75,12348.0,United Kingdom
536172,S1002,Espresso Beans 1kg,Beans,12,2024-03-04,24.0,12199.0,United Kingdom
536173,S1004,Travel Tumbler,Merch,6,2024-03-27,18.9,12020.0,United Kingdom
536174,S1002,Espresso Beans 1kg,Beans,5,2024-03-17,24.0,12162.0,United Kingdom
536174,S1000,Cold Brew Concentrate,Beverage,4,2024-03-17,12.5,12162.0,United Kingdom
C536174,S1002,Espresso Beans 1kg,Beans,-10,2024-03-17,24.0,12162.0,United Kingdom
536175,S1003,Paper Filters x100,Supplies,10,2024-03-07,4.25,12302.0,United Kingdom
536175,S1006,Milk Frother,Equipment,5,2024-03-07,31.0,12302.0,United Kingdom
536176,S1002,Espresso Beans 1kg,Beans,1,2024-03-26,24.0,12214.0,Netherlands
536176,S1005,Decaf Beans 1kg,Beans,6,2024-03-26,22.5,12214.0,Netherlands
536177,S1002,Espresso Beans 1kg,Beans,8,2024-03-28,24.0,12101.0,United Kingdom
536177,S1006,Milk Frother,Equipment,12,2024-03-28,31.0,12101.0,United Kingdom
536178,S1003,Paper Filters x100,Supplies,11,2024-03-20,4.25,12167.0,United Kingdom
536178,S1001,Ceramic Mug,Merch,5,2024-03-20,8.75,12167.0,United Kingdom
536178,S1007,Gift Card,Other,3,2024-03-20,25.0,12167.0,United Kingdom
536179,S1007,Gift Card,Other,2,2024-03-05,25.0,12278.0,United Kingdom
536179,S1005,Decaf Beans 1kg,Beans,2,2024-03-05,22.5,12278.0,United Kingdom
536179,S1006,Milk Frother,Equipment,4,2024-03-05,31.0,12278.0,United Kingdom
536180,S1007,Gift Card,Other,5,2024-03-01,25.0,12368.0,Ireland
536180,S1004,Travel Tumbler,Merch,11,2024-03-01,18.9,12368.0,Ireland
536181,S1006,Milk Frother,Equipment,7,2024-03-26,31.0,12026.0,Germany
536181,S1003,Paper Filters x100,Supplies,9,2024-03-26,4.25,12026.0,Germany
536182,S1001,Ceramic Mug,Merch,12,2024-03-28,8.75,12247.0,Germany
536182,S1006,Milk Frother,Equipment,5,2024-03-28,31.0,12247.0,Germany
536183,S1000,Cold Brew Concentrate,Beverage,12,2024-03-20,12.5,12164.0,France
536183,S1003,Paper Filters x100,Supplies,4,2024-03-20,4.25,12164.0,France
536183,S1001,Ceramic Mug,Merch,6,2024-03-20,8.75,12164.0,France
536184,S1002,Espresso Beans 1kg,Beans,5,2024-03-27,24.0,12199.0,Ireland
536184,S1007,Gift Card,Other,8,2024-03-27,25.0,12199.0,Ireland
536184,S1003,Paper Filters x100,Supplies,9,2024-03-27,4.25,12199.0,Ireland
536185,S1003,Paper Filters x100,Supplies,6,2024-03-03,4.25,12149.0,France
536185,S1001,Ceramic Mug,Merch,5,2024-03-03,8.75,12149.0,France
536186,S1000,Cold Brew Concentrate,Beverage,10,2024-03-04,12.5,12294.0,United Kingdom
536187,S1002,Espresso Beans 1kg,Beans,10,2024-03-14,24.0,12301.0,Germany
536187,S1004,Travel Tumbler,Merch,3,2024-03-14,18.9,12301.0,Germany
536187,S1004,Travel Tumbler,Merch,3,2024-03-14,18.9,12301.0,Germany
536188,S1006,Milk Frother,Equipment,9,2024-03-09,31.0,12173.0,United Kingdom
536188,S1002,Espresso Beans 1kg,Beans,6,2024-03-09,24.0,12173.0,United Kingdom
536189,S1002,Espresso Beans 1kg,Beans,2,2024-03-22,24.0,12129.0,Germany
536190,S1002,Espresso Beans 1kg,Beans,6,2024-03-22,24.0,12063.0,Germany
536191,S1007,Gift Card,Other,7,2024-03-21,25.0,12254.0,United Kingdom
536191,S1007,Gift Card,Other,4,2024-03-21,25.0,12254.0,United Kingdom
536192,S1004,Travel Tumbler,Merch,10,2024-03-18,18.9,12343.0,United Kingdom
536192,S1001,Ceramic Mug,Merch,3,2024-03-18,8.75,12343.0,United Kingdom
536192,S1005,Decaf Beans 1kg,Beans,3,2024-03-18,22.5,12343.0,United Kingdom
536193,S1005,Decaf Beans 1kg,Beans,4,2024-03-09,22.5,12032.0,Ireland
536194,S1002,Espresso Beans 1kg,Beans,6,2024-03-28,24.0,12075.0,United Kingdom
536194,S1004,Travel Tumbler,Merch,1,2024-03-28,18.9,12075.0,United Kingdom
536195,S1006,Milk Frother,Equipment,7,2024-03-23,31.0,12396.0,Ireland
536196,S1002,Espresso Beans 1kg,Beans,8,2024-03-20,24.0,12111.0,Germany
536197,S1005,Decaf Beans 1kg,Beans,7,2024-03-11,22.5,12131.0,United Kingdom
536198,S1002,Espresso Beans 1kg,Beans,7,2024-03-06,24.0,12298.0,United Kingdom
536198,S1000,Cold Brew Concentrate,Beverage,7,2024-03-06,12.5,12298.0,United Kingdom
536198,S1000,Cold Brew Concentrate,Beverage,3,2024-03-06,12.5,12298.0,United Kingdom
536199,S1004,Travel Tumbler,Merch,9,2024-03-26,18.9,12370.0,United Kingdom
536200,S1007,Gift Card,Other,8,2024-03-07,25.0,12237.0,United Kingdom
536200,S1007,Gift Card,Other,3,2024-03-07,25.0,12237.0,United Kingdom
536201,S1003,Paper Filters x100,Supplies,1,2024-03-25,4.25,12254.0,United Kingdom
536202,S1001,Ceramic Mug,Merch,9,2024-03-01,8.75,12396.0,United Kingdom
536203,S1005,Decaf Beans 1kg,Beans,11,2024-03-08,22.5,12253.0,United Kingdom
536204,S1000,Cold Brew Concentrate,Beverage,8,2024-03-10,12.5,12209.0,United Kingdom
536205,S1005,Decaf Beans 1kg,Beans,8,2024-03-04,22.5,12318.0,Germany
536205,S1000,Cold Brew Concentrate,Beverage,2,2024-03-04,12.5,12318.0,Germany
536206,S1007,Gift Card,Other,9,2024-03-17,25.0,,United Kingdom
536206,S1006,Milk Frother,Equipment,12,2024-03-17,31.0,12092.0,United Kingdom
536206,S1005,Decaf Beans 1kg,Beans,8,2024-03-17,22.5,12092.0,United Kingdom
536207,S1002,Espresso Beans 1kg,Beans,1,2024-03-04,24.0,12207.0,United Kingdom
536207,S1001,Ceramic Mug,Merch,2,2024-03-04,8.75,12207.0,United Kingdom
536207,S1003,Paper Filters x100,Supplies,9,2024-03-04,4.25,12207.0,United Kingdom
536208,S1003,Paper Filters x100,Supplies,8,2024-03-23,4.25,12383.0,France
536209,S1002,Espresso Beans 1kg,Beans,12,2024-03-07,24.0,12070.0,United Kingdom
536209,S1006,Milk Frother,Equipment,3,2024-03-07,31.0,12070.0,United Kingdom
536209,S1007,Gift Card,Other,11,2024-03-07,25.0,12070.0,United Kingdom
536210,S1004,Travel Tumbler,Merch,5,2024-03-09,18.9,12362.0,United Kingdom
536210,S1000,Cold Brew Concentrate,Beverage,9,2024-03-09,12.5,12362.0,United Kingdom
536211,S1005,Decaf Beans 1kg,Beans,7,2024-03-07,22.5,12177.0,United Kingdom
536211,S1004,Travel Tumbler,Merch,11,2024-03-07,18.9,12177.0,United Kingdom
536211,S1007,Gift Card,Other,11,2024-03-07,25.0,12177.0,United Kingdom
536212,S1007,Gift Card,Other,6,2024-03-08,25.0,12318.0,United Kingdom
536212,S1004,Travel Tumbler,Merch,2,2024-03-08,18.9,12318.0,United Kingdom
536212,S1000,Cold Brew Concentrate,Beverage,3,2024-03-08,12.5,12318.0,United Kingdom
536213,S1005,Decaf Beans 1kg,Beans,1,2024-03-20,22.5,12018.0,Ireland
536213,S1005,Decaf Beans 1kg,Beans,7,2024-03-20,22.5,12018.0,Ireland
536214,S1007,Gift Card,Other,5,2024-03-13,25.0,12265.0,United Kingdom
536214,S1007,Gift Card,Other,3,2024-03-13,25.0,12265.0,United Kingdom
536214,S1000,Cold Brew Concentrate,Beverage,8,2024-03-13,12.5,12265.0,United Kingdom
536215,S1007,Gift Card,Other,8,2024-03-20,25.0,12060.0,United Kingdom
536215,S1007,Gift Card,Other,9,2024-03-20,25.0,12060.0,United Kingdom
536215,S1006,Milk Frother,Equipment,7,2024-03-20,31.0,12060.0,United Kingdom
536216,S1000,Cold Brew Concentrate,Beverage,6,2024-03-23,12.5,12165.0,United Kingdom
536216,S1005,Decaf Beans 1kg,Beans,12,2024-03-23,22.5,12165.0,United Kingdom
536217,S1003,Paper Filters x100,Supplies,7,2024-03-14,4.25,12077.0,United Kingdom
536217,S1002,Espresso Beans 1kg,Beans,1,2024-03-14,24.0,12077.0,United Kingdom
536217,S1003,Paper Filters x100,Supplies,6,2024-03-14,4.25,12077.0,United Kingdom
536218,S1002,Espresso Beans 1kg,Beans,9,2024-03-02,24.0,12132.0,Germany
536218,S1000,Cold Brew Concentrate,Beverage,10,2024-03-02,12.5,12132.0,Germany
536219,S1007,Gift Card,Other,4,2024-03-25,25.0,12216.0,United Kingdom
536219,S1006,Milk Frother,Equipment,8,2024-03-25,31.0,12216.0,United Kingdom
536220,S1007,Gift Card,Other,12,2024-03-26,25.0,12205.0,United Kingdom
536221,S1005,Decaf Beans 1kg,Beans,4,2024-03-19,22.5,12197.0,United Kingdom
536221,S1004,Travel Tumbler,Merch,10,2024-03-19,18.9,12197.0,United Kingdom
536221,S1004,Travel Tumbler,Merch,4,2024-03-19,18.9,12197.0,United Kingdom
536222,S1004,Travel Tumbler,Merch,3,2024-03-10,18.9,12254.0,France
536222,S1007,Gift Card,Other,8,2024-03-10,25.0,12254.0,France
536223,S1003,Paper Filters x100,Supplies,5,2024-03-20,4.25,12021.0,France
536223,S1007,Gift Card,Other,5,2024-03-20,25.0,12021.0,France
536224,S1004,Travel Tumbler,Merch,1,2024-03-08,18.9,12213.0,United Kingdom
536224,S1000,Cold Brew Concentrate,Beverage,7,2024-03-08,12.5,12213.0,United Kingdom
536225,S1001,Ceramic Mug,Merch,11,2024-03-13,8.75,12267.0,Ireland
536225,S1005,Decaf Beans 1kg,Beans,10,2024-03-13,22.5,,Ireland
536225,S1006,Milk Frother,Equipment,3,2024-03-13,31.0,12267.0,Ireland
536226,S1006,Milk Frother,Equipment,4,2024-03-06,31.0,12173.0,Ireland
536226,S1007,Gift Card,Other,1,2024-03-06,25.0,12173.0,Ireland
536227,S1000,Cold Brew Concentrate,Beverage,7,2024-03-17,12.5,12248.0,United Kingdom
536228,S1001,Ceramic Mug,Merch,2,2024-03-04,8.75,12223.0,United Kingdom
536228,S1006,Milk Frother,Equipment,11,2024-03-04,31.0,12223.0,United Kingdom
536229,S1002,Espresso Beans 1kg,Beans,4,2024-03-26,24.0,12368.0,United Kingdom
536230,S1004,Travel Tumbler,Merch,4,2024-03-06,18.9,12387.0,United Kingdom
536230,S1003,Paper Filters x100,Supplies,2,2024-03-06,4.25,12387.0,United Kingdom
536230,S1003,Paper Filters x100,Supplies,9,2024-03-06,4.25,12387.0,United Kingdom
536231,S1006,Milk Frother,Equipment,5,2024-03-11,31.0,12082.0,Germany
536232,S1001,Ceramic Mug,Merch,6,2024-03-26,8.75,12280.0,United Kingdom
536232,S1005,Decaf Beans 1kg,Beans,5,2024-03-26,22.5,12280.0,United Kingdom
536232,S1002,Espresso Beans 1kg,Beans,8,2024-03-26,24.0,12280.0,United Kingdom
536233,S1007,Gift Card,Other,8,2024-04-15,25.0,12304.0,United Kingdom
536234,S1000,Cold Brew Concentrate,Beverage,12,2024-04-24,12.5,12269.0,United Kingdom
536235,S1007,Gift Card,Other,7,2024-04-09,25.0,12280.0,United Kingdom
536235,S1000,Cold Brew Concentrate,Beverage,9,2024-04-09,12.5,12280.0,United Kingdom
536236,S1004,Travel Tumbler,Merch,6,2024-04-26,18.9,12064.0,United Kingdom
536237,S1000,Cold Brew Concentrate,Beverage,10,2024-04-09,12.5,12041.0,Germany
536237,S1006,Milk Frother,Equipment,7,2024-04-09,31.0,12041.0,Germany
536238,S1001,Ceramic Mug,Merch,7,2024-04-14,8.75,12321.0,Germany
536239,S1006,Milk Frother,Equipment,6,2024-04-12,31.0,12128.0,Germany
536239,S1003,Paper Filters x100,Supplies,10,2024-04-12,4.25,12128.0,Germany
536239,S1004,Travel Tumbler,Merch,9,2024-04-12,18.9,12128.0,Germany
536240,S1004,Travel Tumbler,Merch,9,2024-04-06,18.9,12045.0,Germany
536240,S1006,Milk Frother,Equipment,4,2024-04-06,31.0,12045.0,Germany
536240,S1006,Milk Frother,Equipment,12,2024-04-06,31.0,12045.0,Germany
536241,S1003,Paper Filters x100,Supplies,11,2024-04-12,4.25,12308.0,France
536241,S1006,Milk Frother,Equipment,7,2024-04-12,31.0,12308.0,France
536241,S1001,Ceramic Mug,Merch,10,2024-04-12,8.75,,France
536242,S1003,Paper Filters x100,Supplies,11,2024-04-28,4.25,12255.0,France
536242,S1005,Decaf Beans 1kg,Beans,6,2024-04-28,22.5,12255.0,France
536243,S1007,Gift Card,Other,11,2024-04-08,25.0,12374.0,United Kingdom
536243,S1002,Espresso Beans 1kg,Beans,10,2024-04-08,24.0,12374.0,United Kingdom
536243,S1005,Decaf Beans 1kg,Beans,11,2024-04-08,22.5,12374.0,United Kingdom
536244,S1000,Cold Brew Concentrate,Beverage,1,2024-04-26,12.5,12163.0,Ireland
536244,S1000,Cold Brew Concentrate,Beverage,12,2024-04-26,12.5,12163.0,Ireland
536244,S1003,Paper Filters x100,Supplies,8,2024-04-26,4.25,12163.0,Ireland
536245,S1000,Cold Brew Concentrate,Beverage,2,2024-04-14,12.5,12364.0,United Kingdom
536246,S1005,Decaf Beans 1kg,Beans,4,2024-04-15,22.5,12219.0,United Kingdom
536246,S1007,Gift Card,Other,8,2024-04-15,25.0,12219.0,United Kingdom
536247,S1002,Espresso Beans 1kg,Beans,9,2024-04-27,24.0,12257.0,Netherlands
536247,S1004,Travel Tumbler,Merch,6,2024-04-27,18.9,12257.0,Netherlands
536247,S1000,Cold Brew Concentrate,Beverage,10,2024-04-27,12.5,12257.0,Netherlands
536248,S1003,Paper Filters x100,Supplies,11,2024-04-12,4.25,12148.0,Ireland
536249,S1006,Milk Frother,Equipment,10,2024-04-09,31.0,12118.0,Germany
536250,S1002,Espresso Beans 1kg,Beans,2,2024-04-28,24.0,12115.0,Netherlands
536251,S1001,Ceramic Mug,Merch,10,2024-04-13,8.75,12234.0,France
536252,S1005,Decaf Beans 1kg,Beans,9,2024-04-20,22.5,12205.0,United Kingdom
536252,S1000,Cold Brew Concentrate,Beverage,11,2024-04-20,12.5,12205.0,United Kingdom
536253,S1007,Gift Card,Other,1,2024-04-17,25.0,12382.0,United Kingdom
536254,S1002,Espresso Beans 1kg,Beans,11,2024-04-22,24.0,12183.0,France
536255,S1006,Milk Frother,Equipment,2,2024-04-25,31.0,12217.0,Germany
536255,S1006,Milk Frother,Equipment,6,2024-04-25,31.0,12217.0,Germany
536255,S1000,Cold Brew Concentrate,Beverage,2,2024-04-25,12.5,12217.0,Germany
536256,S1007,Gift Card,Other,4,2024-04-09,25.0,12286.0,United Kingdom
536257,S1007,Gift Card,Other,11,2024-04-18,25.0,12163.0,Germany
536258,S1006,Milk Frother,Equipment,10,2024-04-13,31.0,12005.0,United Kingdom
536258,S1002,Espresso Beans 1kg,Beans,7,2024-04-13,24.0,12005.0,United Kingdom
536259,S1005,Decaf Beans 1kg,Beans,10,2024-04-22,22.5,12361.0,United Kingdom
536260,S1003,Paper Filters x100,Supplies,11,2024-04-03,4.25,12115.0,United Kingdom
536260,S1006,Milk Frother,Equipment,8,2024-04-03,31.0,12115.0,United Kingdom
536261,S1003,Paper Filters x100,Supplies,7,2024-04-13,4.25,12075.0,United Kingdom
536261,S1004,Travel Tumbler,Merch,5,2024-04-13,18.9,12075.0,United Kingdom
536262,S1003,Paper Filters x100,Supplies,5,2024-04-15,4.25,12234.0,Ireland
536262,S1002,Espresso Beans 1kg,Beans,8,2024-04-15,24.0,12234.0,Ireland
536263,S1003,Paper Filters x100,Supplies,9,2024-04-20,4.25,12066.0,Netherlands
536263,S1006,Milk Frother,Equipment,2,2024-04-20,31.0,12066.0,Netherlands
536263,S1003,Paper Filters x100,Supplies,1,2024-04-20,4.25,12066.0,Netherlands
536264,S1002,Espresso Beans 1kg,Beans,10,2024-04-02,24.0,12385.0,United Kingdom
536265,S1004,Travel Tumbler,Merch,8,2024-04-24,18.9,12135.0,United Kingdom
536266,S1002,Espresso Beans 1kg,Beans,1,2024-04-08,24.0,12203.0,United Kingdom
536266,S1003,Paper Filters x100,Supplies,12,2024-04-08,4.25,12203.0,United Kingdom
536266,S1006,Milk Frother,Equipment,11,2024-04-08,31.0,12203.0,United Kingdom
536267,S1007,Gift Card,Other,9,2024-04-04,25.0,12061.0,United Kingdom
536268,S1006,Milk Frother,Equipment,3,2024-04-14,31.0,12191.0,United Kingdom
536268,S1006,Milk Frother,Equipment,5,2024-04-14,31.0,12191.0,United Kingdom
536269,S1006,Milk Frother,Equipment,3,2024-04-26,31.0,12242.0,Germany
536269,S1001,Ceramic Mug,Merch,8,2024-04-26,8.75,12242.0,Germany
536270,S1007,Gift Card,Other,2,2024-04-23,25.0,12190.0,United Kingdom
536270,S1007,Gift Card,Other,7,2024-04-23,25.0,12190.0,United Kingdom
536270,S1002,Espresso Beans 1kg,Beans,11,2024-04-23,24.0,12190.0,United Kingdom
536271,S1004,Travel Tumbler,Merch,7,2024-04-08,18.9,12333.0,United Kingdom
536271,S1002,Espresso Beans 1kg,Beans,2,2024-04-08,24.0,12333.0,United Kingdom
536271,S1007,Gift Card,Other,1,2024-04-08,25.0,12333.0,United Kingdom
536272,S1001,Ceramic Mug,Merch,9,2024-04-21,8.75,12033.0,United Kingdom
536273,S1007,Gift Card,Other,11,2024-04-26,25.0,12331.0,United Kingdom
536273,S1007,Gift Card,Other,3,2024-04-26,25.0,12331.0,United Kingdom
536274,S1007,Gift Card,Other,12,2024-04-08,25.0,12102.0,United Kingdom
536274,S1002,Espresso Beans 1kg,Beans,10,2024-04-08,24.0,,United Kingdom
536275,S1007,Gift Card,Other,8,2024-04-20,25.0,12159.0,United Kingdom
536275,S1007,Gift Card,Other,6,2024-04-20,25.0,12159.0,United Kingdom
536275,S1005,Decaf Beans 1kg,Beans,8,2024-04-20,22.5,12159.0,United Kingdom
536276,S1007,Gift Card,Other,2,2024-04-27,25.0,12345.0,Netherlands
536276,S1002,Espresso Beans 1kg,Beans,9,2024-04-27,24.0,12345.0,Netherlands
536277,S1007,Gift Card,Other,3,2024-04-11,25.0,12272.0,United Kingdom
536277,S1004,Travel Tumbler,Merch,1,2024-04-11,18.9,12272.0,United Kingdom
536277,S1004,Travel Tumbler,Merch,11,2024-04-11,18.9,12272.0,United Kingdom
536278,S1006,Milk Frother,Equipment,11,2024-04-11,31.0,12379.0,United Kingdom
536278,S1001,Ceramic Mug,Merch,5,2024-04-11,8.75,12379.0,United Kingdom
536278,S1006,Milk Frother,Equipment,4,2024-04-11,31.0,12379.0,United Kingdom
536279,S1001,Ceramic Mug,Merch,4,2024-04-26,8.75,12025.0,United Kingdom
536280,S1002,Espresso Beans 1kg,Beans,9,2024-04-01,24.0,12003.0,Netherlands
536280,S1005,Decaf Beans 1kg,Beans,9,2024-04-01,22.5,12003.0,Netherlands
536281,S1003,Paper Filters x100,Supplies,5,2024-04-03,4.25,12378.0,United Kingdom
536281,S1000,Cold Brew Concentrate,Beverage,3,2024-04-03,12.5,12378.0,United Kingdom
536282,S1006,Milk Frother,Equipment,8,2024-04-25,31.0,12201.0,France
536282,S1005,Decaf Beans 1kg,Beans,1,2024-04-25,22.5,12201.0,France
536283,S1000,Cold Brew Concentrate,Beverage,12,2024-04-26,12.5,12074.0,United Kingdom
536283,S1004,Travel Tumbler,Merch,8,2024-04-26,18.9,12074.0,United Kingdom
536283,S1000,Cold Brew Concentrate,Beverage,11,2024-04-26,12.5,,United Kingdom
536284,S1003,Paper Filters x100,Supplies,7,2024-04-15,4.25,12375.0,United Kingdom
536284,S1005,Decaf Beans 1kg,Beans,9,2024-04-15,22.5,12375.0,United Kingdom
536285,S1002,Espresso Beans 1kg,Beans,11,2024-04-21,24.0,12174.0,Ireland
536285,S1000,Cold Brew Concentrate,Beverage,4,2024-04-21,12.5,12174.0,Ireland
536285,S1005,Decaf Beans 1kg,Beans,10,2024-04-21,22.5,12174.0,Ireland
536286,S1000,Cold Brew Concentrate,Beverage,3,2024-04-13,12.5,12389.0,United Kingdom
536286,S1003,Paper Filters x100,Supplies,6,2024-04-13,4.25,12389.0,United Kingdom
536286,S1003,Paper Filters x100,Supplies,7,2024-04-13,4.25,12389.0,United Kingdom
536287,S1005,Decaf Beans 1kg,Beans,8,2024-04-28,22.5,12164.0,Germany
536287,S1003,Paper Filters x100,Supplies,8,2024-04-28,4.25,12164.0,Germany
536288,S1006,Milk Frother,Equipment,5,2024-04-17,31.0,12286.0,United Kingdom
536288,S1000,Cold Brew Concentrate,Beverage,6,2024-04-17,12.5,,United Kingdom
536289,S1001,Ceramic Mug,Merch,6,2024-04-07,8.75,12124.0,United Kingdom
536289,S1003,Paper Filters x100,Supplies,7,2024-04-07,4.25,12124.0,United Kingdom
536289,S1002,Espresso Beans 1kg,Beans,10,2024-04-07,24.0,12124.0,United Kingdom
536290,S1007,Gift Card,Other,8,2024-04-04,25.0,12334.0,Netherlands
536290,S1001,Ceramic Mug,Merch,11,2024-04-04,8.75,12334.0,Netherlands
536291,S1003,Paper Filters x100,Supplies,9,2024-04-16,4.25,12074.0,United Kingdom
536291,S1005,Decaf Beans 1kg,Beans,10,2024-04-16,22.5,12074.0,United Kingdom
536292,S1006,Milk Frother,Equipment,8,2024-04-01,31.0,12383.0,United Kingdom
536292,S1002,Espresso Beans 1kg,Beans,10,2024-04-01,24.0,12383.0,United Kingdom
536292,S1000,Cold Brew Concentrate,Beverage,8,2024-04-01,12.5,12383.0,United Kingdom
536293,S1005,Decaf Beans 1kg,Beans,4,2024-04-10,22.5,12272.0,Netherlands
536293,S1002,Espresso Beans 1kg,Beans,5,2024-04-10,24.0,12272.0,Netherlands
536293,S1004,Travel Tumbler,Merch,4,2024-04-10,18.9,12272.0,Netherlands
536294,S1007,Gift Card,Other,10,2024-04-20,25.0,12272.0,United Kingdom
536295,S1002,Espresso Beans 1kg,Beans,1,2024-04-19,24.0,12132.0,France
536296,S1006,Milk Frother,Equipment,7,2024-04-08,31.0,12263.0,United Kingdom
536296,S1001,Ceramic Mug,Merch,8,2024-04-08,8.75,12263.0,United Kingdom
536297,S1005,Decaf Beans 1kg,Beans,2,2024-04-07,22.5,12191.0,United Kingdom
536297,S1003,Paper Filters x100,Supplies,2,2024-04-07,4.25,12191.0,United Kingdom
536297,S1005,Decaf Beans 1kg,Beans,5,2024-04-07,22.5,12191.0,United Kingdom
536298,S1005,Decaf Beans 1kg,Beans,8,2024-04-04,22.5,12145.0,United Kingdom
536298,S1001,Ceramic Mug,Merch,12,2024-04-04,8.75,12145.0,United Kingdom
536299,S1006,Milk Frother,Equipment,5,2024-04-02,31.0,12001.0,Netherlands
536300,S1003,Paper Filters x100,Supplies,4,2024-04-13,4.25,12104.0,Germany
536300,S1003,Paper Filters x100,Supplies,6,2024-04-13,4.25,12104.0,Germany
536301,S1005,Decaf Beans 1kg,Beans,4,2024-04-20,22.5,12258.0,United Kingdom
536302,S1002,Espresso Beans 1kg,Beans,5,2024-04-04,24.0,12271.0,United Kingdom
536302,S1004,Travel Tumbler,Merch,8,2024-04-04,18.9,12271.0,United Kingdom
536302,S1000,Cold Brew Concentrate,Beverage,6,2024-04-04,12.5,12271.0,United Kingdom
536303,S1003,Paper Filters x100,Supplies,11,2024-04-01,4.25,12250.0,Germany
536304,S1007,Gift Card,Other,8,2024-04-08,25.0,12087.0,United Kingdom
536305,S1000,Cold Brew Concentrate,Beverage,4,2024-04-10,12.5,12253.0,Netherlands
536306,S1002,Espresso Beans 1kg,Beans,2,2024-04-08,24.0,12248.0,United Kingdom
536306,S1001,Ceramic Mug,Merch,5,2024-04-08,8.75,12248.0,United Kingdom
536306,S1003,Paper Filters x100,Supplies,6,2024-04-08,4.25,12248.0,United Kingdom
536307,S1002,Espresso Beans 1kg,Beans,5,2024-04-09,24.0,12082.0,United Kingdom
536307,S1005,Decaf Beans 1kg,Beans,5,2024-04-09,22.5,12082.0,United Kingdom
536307,S1007,Gift Card,Other,6,2024-04-09,25.0,12082.0,United Kingdom
536308,S1002,Espresso Beans 1kg,Beans,7,2024-04-19,24.0,12145.0,France
536309,S1006,Milk Frother,Equipment,5,2024-04-09,31.0,12113.0,United Kingdom
536309,S1005,Decaf Beans 1kg,Beans,12,2024-04-09,22.5,12113.0,United Kingdom
536310,S1000,Cold Brew Concentrate,Beverage,12,2024-04-03,12.5,12053.0,United Kingdom
536310,S1001,Ceramic Mug,Merch,8,2024-04-03,8.75,12053.0,United Kingdom
536310,S1001,Ceramic Mug,Merch,11,2024-04-03,8.75,12053.0,United Kingdom
536311,S1005,Decaf Beans 1kg,Beans,3,2024-04-21,22.5,12315.0,Ireland
536311,S1001,Ceramic Mug,Merch,8,2024-04-21,8.75,12315.0,Ireland
536311,S1002,Espresso Beans 1kg,Beans,10,2024-04-21,24.0,12315.0,Ireland
536312,S1002,Espresso Beans 1kg,Beans,5,2024-04-28,24.0,12249.0,Ireland
536313,S1003,Paper Filters x100,Supplies,12,2024-04-20,4.25,12071.0,United Kingdom
536313,S1006,Milk Frother,Equipment,2,2024-04-20,31.0,12071.0,United Kingdom
536314,S1003,Paper Filters x100,Supplies,5,2024-05-19,4.25,12171.0,Germany
536315,S1006,Milk Frother,Equipment,3,2024-05-19,31.0,12075.0,United Kingdom
536315,S1004,Travel Tumbler,Merch,2,2024-05-19,18.9,12075.0,United Kingdom
536315,S1001,Ceramic Mug,Merch,6,2024-05-19,8.75,12075.0,United Kingdom
536316,S1006,Milk Frother,Equipment,2,2024-05-23,31.0,12068.0,United Kingdom
536316,S1007,Gift Card,Other,10,2024-05-23,25.0,12068.0,United Kingdom
536317,S1007,Gift Card,Other,10,2024-05-16,25.0,12335.0,Germany
536318,S1005,Decaf Beans 1kg,Beans,8,2024-05-21,22.5,12070.0,France
536318,S1006,Milk Frother,Equipment,7,2024-05-21,31.0,12070.0,France
536319,S1005,Decaf Beans 1kg,Beans,5,2024-05-09,22.5,12119.0,Germany
536319,S1001,Ceramic Mug,Merch,4,2024-05-09,8.75,12119.0,Germany
536320,S1002,Espresso Beans 1kg,Beans,12,2024-05-14,24.0,12157.0,United Kingdom
536320,S1003,Paper Filters x100,Supplies,6,2024-05-14,4.25,12157.0,United Kingdom
536320,S1006,Milk Frother,Equipment,6,2024-05-14,31.0,12157.0,United Kingdom
536321,S1003,Paper Filters x100,Supplies,3,2024-05-17,4.25,12272.0,Germany
536321,S1001,Ceramic Mug,Merch,7,2024-05-17,8.75,12272.0,Germany
536321,S1004,Travel Tumbler,Merch,2,2024-05-17,18.9,12272.0,Germany
536322,S1000,Cold Brew Concentrate,Beverage,10,2024-05-27,12.5,12014.0,United Kingdom
536322,S1006,Milk Frother,Equipment,9,2024-05-27,31.0,12014.0,United Kingdom
536322,S1006,Milk Frother,Equipment,9,2024-05-27,31.0,12014.0,United Kingdom
536323,S1004,Travel Tumbler,Merch,5,2024-05-17,18.9,12203.0,France
